file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,"buscarNaoOrganizoIna/2[br.ufrn.ePET.service.HttpServletRequest,br.ufrn.ePET.service.Pageable]",false,266,7,3,1,2,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,buscar/1[java.lang.Long],false,43,5,7,3,4,3,43,31,1,4,1,43,0,0,1,0,0,0,2,0,5,1,1,0,0,0,21,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,buscarAtivos/0,false,85,3,4,2,2,5,7,12,1,3,0,7,0,0,1,0,0,0,1,0,3,0,2,0,0,0,17,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,buscarAtivosId/1[java.lang.Long],false,271,6,5,1,4,3,41,30,1,4,1,41,0,0,1,1,0,0,2,0,4,1,1,0,0,0,24,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,eventodtoParaEvento/1[br.ufrn.ePET.models.EventoDTO],false,326,2,2,1,1,11,47,28,1,4,1,47,0,0,0,9,0,0,0,0,4,0,1,0,0,0,14,2,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,buscar/1[br.ufrn.ePET.service.Pageable],false,78,4,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,"buscarNaoOrganizo/2[br.ufrn.ePET.service.HttpServletRequest,br.ufrn.ePET.service.Pageable]",false,261,7,3,1,2,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/service/EventoService.java,br.ufrn.ePET.service.EventoService,"EventoService/6[br.ufrn.ePET.repository.EventoRepository,br.ufrn.ePET.service.OrganizadoresService,br.ufrn.ePET.service.PessoaService,br.ufrn.ePET.service.Periodo_EventoService,br.ufrn.ePET.service.PetianoService,br.ufrn.ePET.service.EmailService]",true,34,7,0,0,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,newBuilder/0,false,42,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setTitulo/1[java.lang.String],false,46,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,Builder/0,true,39,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setDetalhes/1[java.lang.String],false,56,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setMensagem/1[java.lang.String],false,66,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setTimestamp/1[long],false,61,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setCampo/1[java.lang.String],false,71,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setCampoMenssagem/1[java.lang.String],false,76,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,build/0,false,81,2,8,0,8,1,7,11,1,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/error/ValidationErrorDetail.java,br.ufrn.ePET.error.ValidationErrorDetail$Builder,setStatus/1[int],false,51,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/EmailController.java,br.ufrn.ePET.controller.EmailController,"emailEsqueciSenha/2[br.ufrn.ePET.controller.HttpServletRequest,java.lang.String]",false,97,9,2,0,2,1,2,5,1,1,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,20,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/EmailController.java,br.ufrn.ePET.controller.EmailController,"emailConfirmarCadastro/2[br.ufrn.ePET.controller.HttpServletRequest,java.lang.String]",false,83,13,4,0,4,1,5,7,1,3,2,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,22,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/EmailController.java,br.ufrn.ePET.controller.EmailController,"EmailController/6[br.ufrn.ePET.service.ParticipanteService,br.ufrn.ePET.service.PessoaService,br.ufrn.ePET.service.EventoService,br.ufrn.ePET.service.EmailService,br.ufrn.ePET.service.ValidadorUsuarioService,br.ufrn.ePET.service.UsuarioService]",true,45,7,0,0,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/EmailController.java,br.ufrn.ePET.controller.EmailController,"emailParticipanteVagaObtida/3[br.ufrn.ePET.controller.HttpServletRequest,br.ufrn.ePET.controller.Pageable,java.lang.Long]",false,59,14,3,0,3,1,11,6,1,2,3,11,0,0,0,0,0,0,10,0,2,0,0,0,0,0,33,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/EmailController.java,br.ufrn.ePET.controller.EmailController,"emailCancelarInscricao/3[br.ufrn.ePET.controller.HttpServletRequest,java.lang.String,java.lang.Long]",false,73,13,3,0,3,1,5,6,1,2,3,5,0,0,0,0,0,0,10,0,2,0,0,0,0,0,33,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/models/ValidadorUsuario.java,br.ufrn.ePET.models.ValidadorUsuario,setIdValidadorUsuario/1[java.lang.Long],false,31,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/models/ValidadorUsuario.java,br.ufrn.ePET.models.ValidadorUsuario,getIdValidadorUsuario/0,false,27,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader,"downloadFileFromURL/2[java.lang.String,java.io.File]",false,104,0,1,1,0,1,6,9,0,3,2,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,18,10,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader,main/1[java.lang.String[]],false,55,1,1,0,1,8,11,46,0,6,1,11,1,1,0,1,3,0,10,3,8,5,4,0,0,0,43,9,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,NoticiaController/1[br.ufrn.ePET.service.NoticiaService],true,27,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,getNoticias/1[java.lang.Long],false,76,8,2,0,2,2,1,7,1,1,1,1,0,0,0,1,0,0,5,0,1,1,1,0,0,0,22,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,getNoticiasAntigas/1[br.ufrn.ePET.controller.Pageable],false,57,8,2,0,2,3,2,7,1,1,1,2,0,0,0,1,0,0,4,0,1,0,1,0,0,0,22,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,getNoticiasAtuais/1[br.ufrn.ePET.controller.Pageable],false,46,8,2,0,2,3,2,7,1,1,1,2,0,0,0,1,0,0,4,0,1,0,1,0,0,0,22,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,"getNoticiasPorTitulo/2[java.lang.String,br.ufrn.ePET.controller.Pageable]",false,69,9,1,0,1,1,1,4,1,1,2,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,20,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,getNoticias/1[br.ufrn.ePET.controller.Pageable],false,35,7,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,11,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,"saveNoticias/2[java.lang.Long,br.ufrn.ePET.models.Noticia]",false,89,11,1,0,1,1,1,4,1,0,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,1,0,false
/home/schwaad/Área de trabalho/Programação/PETCC/ePET/back/ePET/src/main/java/br/ufrn/ePET/controller/NoticiaController.java,br.ufrn.ePET.controller.NoticiaController,removeNoticias/1[java.lang.Long],false,98,8,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,1,0,false
